MCC,DESCRIPTION
0742,Veterinary services
0743,Wine producers
0744,Champagne producers
0763,Agricultural co-operatives
0780,Landscaping and horticultural services
1520,General contractors -- residential and commercial
1711,"Heating, plumbing and air-conditioning contractors"
1731,Electrical contractors
1740,"Masonry, stonework, tile setting, plastering and insulation contractors"
1750,Carpentry contractors
1761,"Roofing, siding and sheet metal work contractors"
1771,Concrete work contractors
1799,Special trade contractors -- not elsewhere classified
2741,Miscellaneous publishing and printing services
2791,"Typesetting, platemaking and related services"
2842,"Speciality cleaning, polishing and sanitation preparations"
4011,Railroads
4111,"Local and suburban commuter passenger transportation, including ferries"
4112,Passenger railways
4119,Ambulance services
4121,Taxi-cabs and limousines
4131,Bus lines
4214,"Motor freight carriers and trucking -- local and long distance, moving and storage companies and local delivery"
4215,Courier services -- air and ground and freight forwarders
4225,"Public warehousing and storage -- farm products, refrigerated goods and household goods"
4411,Steamships and cruise lines
4457,Boat rentals and leasing
4468,"Marinas, marine service and supplies"
4511,Airlines and air carriers
4582,"Airports, flying fields and airport terminals"
4722,Travel agencies and tour operators
4784,Tolls and bridge fees
4789,Transportation services -- not elsewhere classified
4812,Telecommunication equipment and telephone sales
4814,"Telecommunication services, including local and long distance calls, credit card calls, calls through use of magnetic stripe reading telephones and faxes"
4815,Monthly summary telephone charges
4816,Computer network/information services
4821,Telegraph services
4829,Wire transfers and money orders
4899,Cable and other pay television services
4900,"Utilities -- electric, gas, water and sanitary"
5013,Motor vehicle supplies and new parts
5021,Office and commercial furniture
5039,Construction materials -- not elsewhere classified
5044,"Office, photographic, photocopy and microfilm equipment"
5045,"Computers, computer peripheral equipment -- not elsewhere classified"
5046,Commercial equipment -- not elsewhere classified
5047,Dental/laboratory/medical/ophthalmic hospital equipment and supplies
5051,Metal service centres and offices
5065,Electrical parts and equipment
5072,Hardware equipment and supplies
5074,Plumbing and heating equipment and supplies
5085,Industrial supplies -- not elsewhere classified
5094,"Precious stones and metals, watches and jewellery"
5099,Durable goods -- not elsewhere classified
5111,"Stationery, office supplies and printing and writing paper"
5122,"Drugs, drug proprietors"
5131,"Piece goods, notions and other dry goods"
5137,"Men's, women's and children's uniforms and commercial clothing"
5139,Commercial footwear
5169,Chemicals and allied products -- not elsewhere classified
5172,Petroleum and petroleum products
5192,"Books, periodicals and newspapers"
5193,"Florists' supplies, nursery stock and flowers"
5198,"Paints, varnishes and supplies"
5199,Non-durable goods -- not elsewhere classified
5200,Home supply warehouse outlets
5211,Lumber and building materials outlets
5231,"Glass, paint and wallpaper shops"
5251,Hardware shops
5261,"Lawn and garden supply outlets, including nurseries"
5271,Mobile home dealers
5300,Wholesale clubs
5309,Duty-free shops
5310,Discount shops
5311,Department stores
5331,Variety stores
5399,Miscellaneous general merchandise
5411,Groceries and supermarkets
5422,Freezer and locker meat provisioners
5441,"Candy, nut and confectionery shops"
5451,Dairies
5462,Bakeries
5499,Miscellaneous food shops -- convenience and speciality retail outlets
5511,"Car and truck dealers (new and used) sales, services, repairs, parts and leasing"
5521,"Car and truck dealers (used only) sales, service, repairs, parts and leasing"
5531,Auto and home supply outlets
5532,Automotive tyre outlets
5533,Automotive parts and accessories outlets
5541,Service stations (with or without ancillary services)
5542,Automated fuel dispensers
5551,Boat dealers
5561,"Camper, recreational and utility trailer dealers"
5571,Motorcycle shops and dealers
5592,Motor home dealers
5598,Snowmobile dealers
5599,"Miscellaneous automotive, aircraft and farm equipment dealers -- not elsewhere classified"
5611,Men's and boys' clothing and accessory shops
5621,Women's ready-to-wear shops
5631,Women's accessory and speciality shops
5641,Children's and infants' wear shops
5651,Family clothing shops
5655,Sports and riding apparel shops
5661,Shoe shops
5681,Furriers and fur shops
5691,Men's and women's clothing shops
5697,"Tailors, seamstresses, mending and alterations"
5698,Wig and toupee shops
5699,Miscellaneous apparel and accessory shops
5712,"Furniture, home furnishings and equipment shops and manufacturers, except appliances"
5713,Floor covering services
5714,"Drapery, window covering and upholstery shops"
5715,Alcoholic beverage wholesalers
5718,"Fireplaces, fireplace screens and accessories shops"
5719,Miscellaneous home furnishing speciality shops
5722,Household appliance shops
5732,Electronics shops
5733,"Music shops -- musical instruments, pianos and sheet music"
5734,Computer software outlets
5735,Record shops
5811,Caterers
5812,Eating places and restaurants
5813,"Drinking places (alcoholic beverages) -- bars, taverns, night-clubs, cocktail lounges and discotheques"
5814,Fast food restaurants
5912,Drug stores and pharmacies
5921,"Package shops -- beer, wine and liquor"
5931,Used merchandise and second-hand shops
5932,"Antique shops -- sales, repairs and restoration services"
5933,Pawn shops
5935,Wrecking and salvage yards
5937,Antique reproduction shops
5940,Bicycle shops -- sales and service
5941,Sporting goods shops
5942,Bookshops
5943,"Stationery, office and school supply shops"
5944,"Jewellery, watch, clock and silverware shops"
5945,"Hobby, toy and game shops"
5946,Camera and photographic supply shops
5947,"Gift, card, novelty and souvenir shops"
5948,Luggage and leather goods shops
5949,"Sewing, needlework, fabric and piece goods shops"
5950,Glassware and crystal shops
5960,Direct marketing -- insurance services
5962,Telemarketing -- travel-related arrangement services
5963,Door-to-door sales
5964,Direct marketing -- catalogue merchants
5965,Direct marketing -- combination catalogue and retail merchants
