MCC,DESCRIPTION,MASTERCARD_ABBREVIATED_AIRLINE_NAME
0742,Veterinary Services,
0763,Agricultural Cooperatives,
0780,Horticultural and Landscaping Services,
1520,"General Contractors, residential and commercial",
1711,"Air Conditioning, Heating, and Plumbing Contractors",
1731,Electrical Contractors,
1740,"Insulation, Masonry, Plastering, Stonework, and Tile Setting Contractors",
1750,Carpentry Contractors,
1761,"Roofing and Siding, Sheet Metal Work Contractors",
1771,Concrete Work Contractors,
1799,"Contractors, Special Trade; not elsewhere classified",
2741,Miscellaneous Publishing and Printing,
2791,"Typesetting, Plate Making, and Related Services",
2842,"Sanitation, Polishing, and Specialty Cleaning Preparations",
3000,United Airlines,UNITED
3001,American Airlines,AMERICAN
3002,Pan American,PAN AM
3003,Eurofly,EUROFLY
3004,Dragonair,DRAGONAIR
3005,British Airways,BRITISH A
3006,Japan Air Lines,JAL
3007,Air France,AIR FRAN
3008,Lufthansa,LUFTHAN
3009,Air Canada,AIR CAN
3010,Royal Dutch Airlines (KLM),KLM
3011,Aeroflot,AEROFLOT
3012,Qantas,QANTAS
3013,ITA AIRWAYS,ITA SPA
3014,Saudi Arabian Airlines,SAUDI AI
3015,Swiss International Air Lines,SWISS
3016,Scandinavian Airline System (SAS),SAS
3017,South African Airways,SAFRICAN
3018,Varig (Brazil),VARIG
3019,Eastern Airlines,Eastern
3020,Air India,AIR-INDI
3021,Air Algerie,AIRALGER
3022,Philippine Airlines,PAL AIR
3023,Mexicana,MEXICANA
3024,Pakistan International,PAKISTAN
3025,Air New Zealand Limited International,AIR NZ
3026,Emirates Airlines,EMIRATES
3027,Union de Transports Aeriens,UTAAIR
3028,Air Malta,AIRMALTA
3029,SN Brussels Airlines,SNBRU AIR
3030,Aerolineas Argentinas,AERO ARG
3031,Olympic Airways,OLYMPICA
3032,El Al,EL AL
3033,Ansett Airlines,ANSETT
3034,Etihad Airways,ETIHADAIR
3035,Tap (Portugal),TAP
3036,VASP (Brazil),VASP
3037,EgyptAir,EGYPTAIR
3038,Kuwait Airways,KUWAIT
3039,Avianca,AVIANCA
3040,Gulf Air (Bahrain),GULF AIR
3041,Balkan: Bulgarian Airlines,BALKAN
3042,Finnair,FINNAIR
3043,Aer Lingus,AERLING
3044,Air Lanka,AIR LANKA
