MCC,DESCRIPTION,STRIPE CODE
0742,Veterinary Services,veterinary_services
0763,Agricultural Cooperative,agricultural_cooperative
0780,Landscaping Services,landscaping_services
1520,General Services,general_services
1711,"Heating, Plumbing, A/C",heating_plumbing_a_c
1731,Electrical Services,electrical_services
1740,"Masonry, Stonework, and Plaster",masonry_stonework_and_plaster
1750,Carpentry Services,carpentry_services
1761,"Roofing/Siding, Sheet Metal",roofing_siding_sheet_metal
1771,Concrete Work Services,concrete_work_services
1799,Special Trade Services,special_trade_services
2741,Miscellaneous Publishing and Printing,miscellaneous_publishing_and_printing
2791,"Typesetting, Plate Making, and Related Services",typesetting_plate_making_and_related_services
2842,Specialty Cleaning,specialty_cleaning
4011,Railroads,railroads
4111,"Commuter Transport, Ferries",commuter_transport_and_ferries
4112,Passenger Railways,passenger_railways
4119,Ambulance Services,ambulance_services
4121,Taxicabs/Limousines,taxicabs_limousines
4131,Bus Lines,bus_lines
4214,"Motor Freight Carriers and Trucking - Local and Long Distance, Moving and Storage Companies, and Local Delivery Services",motor_freight_carriers_and_trucking
4215,Courier Services,courier_services
4225,"Public Warehousing and Storage - Farm Products, Refrigerated Goods, Household Goods, and Storage",public_warehousing_and_storage
4411,Cruise Lines,cruise_lines
4457,Boat Rentals and Leases,boat_rentals_and_leases
4468,"Marinas, Service and Supplies",marinas_service_and_supplies
4511,"Airlines, Air Carriers",airlines_air_carriers
4582,"Airports, Flying Fields",airports_flying_fields
4722,"Travel Agencies, Tour Operators",travel_agencies_tour_operators
4723,TUI Travel - Germany,t_ui_travel_germany
4784,Tolls/Bridge Fees,tolls_bridge_fees
4789,Transportation Services (Not Elsewhere Classified),transportation_services
4812,Telecommunication Equipment and Telephone Sales,telecommunication_equipment_and_telephone_sales
4814,Telecommunication Services,telecommunication_services
4816,Computer Network Services,computer_network_services
4821,Telegraph Services,telegraph_services
4829,"Wires, Money Orders",wires_money_orders
4899,"Cable, Satellite, and Other Pay Television and Radio",cable_satellite_and_other_pay_television_and_radio
4900,Utilities,utilities
5013,Motor Vehicle Supplies and New Parts,motor_vehicle_supplies_and_new_parts
5021,Office and Commercial Furniture,office_and_commercial_furniture
5039,Construction Materials (Not Elsewhere Classified),construction_materials
5044,"Photographic, Photocopy, Microfilm Equipment, and Supplies",photographic_photocopy_microfilm_equipment_and_supplies
5045,"Computers, Peripherals, and Software",computers_peripherals_and_software
5046,Commercial Equipment (Not Elsewhere Classified),commercial_equipment
5047,"Medical, Dental, Ophthalmic, and Hospital Equipment and Supplies",medical_dental_ophthalmic_and_hospital_equipment_and_supplies
5051,Metal Service Centers,metal_service_centers
5065,Electrical Parts and Equipment,electrical_parts_and_equipment
5072,"Hardware, Equipment, and Supplies",hardware_equipment_and_supplies
5074,"Plumbing, Heating Equipment, and Supplies",plumbing_heating_equipment_and_supplies
5085,Industrial Supplies (Not Elsewhere Classified),industrial_supplies
5094,"Precious Stones and Metals, Watches and Jewelry",precious_stones_and_metals_watches_and_jewelry
5099,Durable Goods (Not Elsewhere Classified),durable_goods
5111,"Stationary, Office Supplies, Printing and Writing Paper",stationary_office_supplies_printing_and_writing_paper
5122,"Drugs, Drug Proprietaries, and Druggist Sundries",drugs_drug_proprietaries_and_druggist_sundries
5131,"Piece Goods, Notions, and Other Dry Goods",piece_goods_notions_and_other_dry_goods
5137,"Uniforms, Commercial Clothing",uniforms_commercial_clothing
5139,Commercial Footwear,commercial_footwear
5169,Chemicals and Allied Products (Not Elsewhere Classified),chemicals_and_allied_products
5172,Petroleum and Petroleum Products,petroleum_and_petroleum_products
5192,"Books, Periodicals, and Newspapers",books_periodicals_and_newspapers
