MCC,DESCRIPTION
0742,Veterinary Services
0763,Agricultural Co-operatives
0780,Horticultural Services
0780,Landscaping Services
1520,General Contractors-Residential and Commercial
1711,Air Conditioning Contractors - Sales and Installation
1711,"Heating Contractors - Sales, Service, Installation"
1731,Electrical Contractors
1740,Insulation - Contractors
1740,"Masonry, Stonework Contractors"
1740,Plastering Contractors
1740,Stonework and Masonry Contractors
1740,Tile Settings Contractors
1750,Carpentry Contractors
1761,Roofing - Contractors
1761,Sheet Metal Work - Contractors
1761,Siding - Contractors
1771,Contractors - Concrete Work
1799,"Contractors - Special Trade, Not Elsewhere Classified"
2741,Miscellaneous Publishing and Printing
2791,"Typesetting, Plate Making, & Related Services"
2842,"Specialty Cleaning, Polishing, and Sanitation Preparations"
3000,UNITED AIRLINES
3001,AMERICAN AIRLINES
3002,PAN AMERICAN
3004,TRANS WORLD AIRLINES
3005,BRITISH AIRWAYS
3006,JAPAN AIRLINES
3007,AIR FRANCE
3008,LUFTHANSA
3009,AIR CANADA
3010,KLM (ROYAL DUTCH AIRLINES)
3011,AEORFLOT
3012,QUANTAS
3013,ALITALIA
3014,SAUDIA ARABIAN AIRLINES
3015,SWISSAIR
3016,SAS
3017,SOUTH AFRICAN AIRWAYS
3018,VARIG (BRAZIL)
3020,AIR-INDIA
3021,AIR ALGERIE
3022,PHILIPPINE AIRLINES
3023,MEXICANA
3024,PAKISTAN INTERNATIONAL
3025,AIR NEW ZEALAND
3027,UTA/INTERAIR
3028,AIR MALTA
3029,SABENA
3030,AEROLINEAS ARGENTINAS
3031,OLYMPIC AIRWAYS
3032,EL AL
3033,ANSETT AIRLINES
3034,AUSTRAINLIAN AIRLINES
3035,TAP (PORTUGAL)
3036,VASP (BRAZIL)
3038,KUWAIT AIRLINES
3039,AVIANCA
3040,GULF AIR (BAHRAIN)
3041,BALKAN-BULGARIAN AIRLINES
3042,FINNAIR
3043,AER LINGUS
3044,AIR LANKA
3045,NIGERIA AIRWAYS
3046,CRUZEIRO DO SUL (BRAZIJ)
3047,THY (TURKEY)
3048,ROYAL AIR MAROC
3049,TUNIS AIR
3050,ICELANDAIR
3051,AUSTRIAN AIRLINES
3052,LANCHILE
3053,AVIACO (SPAIN)
3054,LADECO (CHILE)
3055,LAB (BOLIVIA)
