MCC,DESCRIPTION,REQUIRED NAME IN AUTHORIZATION REQUEST / CLEARING RECORD
0742,Veterinary Services,
0763,Agricultural Co-operatives,
0780,Landscaping and Horticultural Services,
1520,General Contractors - Residential and Commercial,
1711,"Heating, Plumbing, and Air Conditioning Contractors",
1731,Electrical Contractors,
1740,"Masonry, Stonework, Tile Setting, Plastering and Insulation Contractors",
1750,Carpentry Contractors,
1761,"Roofing, Siding, and Sheet Metal Work Contractors",
1771,Concrete Work Contractors,
1799,Special Trade Contractors (Not Elsewhere Classified),
2741,Miscellaneous Publishing and Printing,
2791,"Typesetting, Plate Making and Related Services",
2842,"Specialty Cleaning, Polishing and Sanitation Preparations",
3000,UNITED AIRLINES,UNITED AIR
3001,AMERICAN AIRLINES,AMERICAN AIR
3002,PAN AMERICAN,PAN AM AIR
3003,EUROFLY AIRLINES,EUROFLY AIR
3004,DRAGON AIRLINES,DRAGONAIR
3005,BRITISH AIRWAYS,BRITISH AWYS
3006,JAPAN AIRLINES,JAL AIRLINE
3007,AIR FRANCE,AIR FRANCE
3008,LUFTHANSA,LUFTHANSA
3009,AIR CANADA,AIR CANADA
3010,KLM (ROYAL DUTCH AIRLINES),KLM AIRLINE
3011,AEROFLOT,AEROFLOT
3012,QANTAS,QANTAS AIR
3013,ITA AIRWAYS (FORMERLY ALITALIA),ITA AIRWAYS (FORMERLY ALITALIA)
3014,SAUDI ARABIAN AIRLINES,SAUDIA AIR
3015,SWISS INTERNATIONAL AIRLINES,SWISSINTAIR
3016,SAS,SAS
3017,SOUTH AFRICAN AIRWAYS,SAA AIRWAYS
3018,VARIG (BRAZIL),VARIG
3019,EASTERN AIRLINES,EASTERN AIR
3020,AIR-INDIA,AIR-INDIA
3021,AIR ALGERIE,AIR ALGERIE
3022,PHILIPPINE AIRLINES,PAL AIR
3023,MEXICANA,MEXICANA
3024,PAKISTAN INTERNATIONAL,PAKISTAN AIR
3025,AIR NEW ZEALAND,AIR NZ
3026,EMIRATES AIRLINES,EMIRATES
3027,UTA/INTERAIR,UTA AIRLINE
3028,AIR MALTA,AIR MALTA
3029,SN BRUSSELS AIRLINES,SNBRSSLSAIR
3030,AEROLINEAS ARGENTINAS,AERO ARGENT
3031,OLYMPIC AIRWAYS,OLYMPIC AIR
